Rk,Player,School,Conf,G,Cmp,Att,Pct,PYds,Y_A,AY_A,PTD,Int,Rate,RAtt,RYds,RAvg,RTD
1,Jalen Hurts*\jalen-hurts-1,Oklahoma,Big 12,14,237,340,69.7,3851,11.3,12.2,32,8,191.2,233,1298,5.6,20
2,Joe Burrow*\joe-burrow-1,LSU,SEC,15,402,527,76.3,5671,10.8,12.5,60,6,202.0,115,368,3.2,5
3,Tyler Huntley*\tyler-huntley-1,Utah,Pac-12,14,220,301,73.1,3092,10.3,10.9,19,4,177.6,104,290,2.8,5
4,Tanner Morgan*\tanner-morgan-2,Minnesota,Big Ten,13,210,318,66.0,3253,10.2,11.1,30,7,178.7,61,-57,-0.9,1
5,Brady White*\brady-white-1,Memphis,American,14,269,421,63.9,4014,9.5,9.9,33,11,164.6,61,-71,-1.2,4
6,Layne Hatcher*\layne-hatcher-1,Arkansas State,Sun Belt,10,204,310,65.8,2946,9.5,9.8,27,10,167.9,79,46,0.6,1
7,Dillon Gabriel*\dillon-gabriel-1,UCF,American,13,236,398,59.3,3653,9.2,9.8,29,7,156.9,71,78,1.1,4
8,Justin Fields*\justin-fields-2,Ohio State,Big Ten,14,238,354,67.2,3273,9.2,11.2,41,3,181.4,137,484,3.5,10
9,Trevor Lawrence*\trevor-lawrence-1,Clemson,ACC,15,268,407,65.8,3665,9.0,9.9,36,8,166.7,103,563,5.5,9
10,Tyler Johnston III*\tyler-johnston-iii-1,UAB,CUSA,11,147,249,59.0,2250,9.0,7.7,17,15,145.4,84,247,2.9,1
11,Kedon Slovis*\kedon-slovis-1,USC,Pac-12,12,282,392,71.9,3502,8.9,9.4,30,9,167.6,45,-57,-1.3,0
12,Chris Reynolds*\chris-reynolds-1,Charlotte,CUSA,13,181,291,62.2,2564,8.8,8.6,22,11,153.6,153,791,5.2,6
13,Jayden Daniels*\jayden-daniels-1,Arizona State,Pac-12,12,205,338,60.7,2943,8.7,9.4,17,2,149.2,125,355,2.8,3
14,Sam Howell*\sam-howell-1,North Carolina,ACC,13,259,422,61.4,3641,8.6,9.7,38,7,160.2,94,35,0.4,1
15,Jack Abraham*\jack-abraham-1,Southern Mississippi,CUSA,13,275,405,67.9,3496,8.6,7.9,19,15,148.5,81,77,1.0,6
16,Nathan Rourke*\nathan-rourke-1,Ohio,MAC,13,200,328,61.0,2820,8.6,9.1,20,5,150.3,154,867,5.6,13
17,Stephen Calvert*\stephen-calvert-1,Liberty,Ind,13,249,431,57.8,3663,8.5,9.1,28,7,147.4,40,-151,-3.8,0
