DATE,SEX,AGE (yr),BODY WEIGHT (kg),CHEST GIRTH (cm),BODY LENGTH (cm)
4/17/2003,FEMALE,0.10,2.47,29.80,39.00
3/22/2002,FEMALE,0.17,5.30,29.00,46.50
4/8/2003,FEMALE,0.17,5.64,30.20,49.00
4/1/2003,FEMALE,0.17,5.85,31.40,50.40
7/19/2012,FEMALE,0.42,6.80,39.00,74.00
7/19/2012,FEMALE,0.42,13.15,56.20,90.50
1/25/2005,FEMALE,1.08,58.06,81.00,143.00
1/7/2009,FEMALE,1.08,57.61,89.00,135.00
4/13/2000,FEMALE,1.33,54.43,74.90,149.50
5/10/2001,FEMALE,1.42,52.16,82.00,135.00
5/10/2012,FEMALE,1.42,47.63,75.50,133.00
5/11/2004,FEMALE,1.42,27.22,59.00,127.00
6/5/2005,FEMALE,1.50,45.36,67.00,134.00
7/10/2012,FEMALE,1.58,49.90,78.50,150.00
8/11/2005,FEMALE,1.67,26.31,54.20,113.30
8/14/2002,FEMALE,1.67,44.45,75.00,139.00
8/31/2007,FEMALE,1.67,22.68,60.00,109.00
9/6/2001,FEMALE,1.75,65.77,87.00,141.50
9/22/2011,FEMALE,1.75,47.63,75.00,150.00
10/16/2008,FEMALE,1.83,45.36,75.00,144.00
10/23/2009,FEMALE,1.83,61.23,83.00,144.00
11/11/2004,FEMALE,1.92,40.82,66.00,136.00
11/9/2006,FEMALE,1.92,47.63,75.00,143.40
12/12/2004,FEMALE,2.00,49.90,74.00,150.00
12/14/2004,FEMALE,2.00,52.16,77.00,153.00
4/19/2000,FEMALE,2.33,87.54,92.00,172.00
4/27/2010,FEMALE,2.33,45.36,76.00,142.00
4/8/2008,FEMALE,2.33,53.07,78.00,152.50
6/14/2000,FEMALE,2.50,78.93,93.00,159.00
6/25/2006,FEMALE,2.50,59.87,83.00,150.00
6/5/2011,FEMALE,2.50,77.11,90.00,150.50
7/25/2005,FEMALE,2.58,70.31,80.50,153.50
7/18/2011,FEMALE,2.58,77.11,92.00,160.00
7/6/2002,FEMALE,2.58,36.29,67.00,110.00
7/2/2012,FEMALE,2.58,54.43,82.00,140.00
7/10/2012,FEMALE,2.58,49.90,75.00,140.00
8/6/2002,FEMALE,2.67,44.45,63.00,123.00
9/6/2001,FEMALE,2.75,63.50,83.00,145.50
9/11/2009,FEMALE,2.75,79.38,92.50,155.00
10/23/2007,FEMALE,2.83,79.38,98.00,153.00
11/8/2006,FEMALE,2.92,63.50,78.00,158.00
11/11/2005,FEMALE,2.92,45.36,72.10,140.60
11/29/2010,FEMALE,2.92,45.36,66.00,119.00
11/8/2010,FEMALE,2.92,79.38,99.00,152.00
12/13/2007,FEMALE,3.00,55.79,76.00,142.00
12/14/2004,FEMALE,3.00,76.20,94.00,146.40
1/6/2006,FEMALE,3.08,67.13,87.00,145.00
2/10/2008,FEMALE,3.17,54.43,82.00,136.00
5/1/2007,FEMALE,3.42,72.57,86.70,160.50
6/10/2002,FEMALE,3.50,65.77,83.90,149.00
6/14/2000,FEMALE,3.50,89.81,93.00,167.00
6/8/2000,FEMALE,3.50,41.73,72.00,134.00
6/19/2006,FEMALE,3.50,75.30,93.50,151.00
6/19/2003,FEMALE,3.50,58.97,82.00,139.00
6/8/2007,FEMALE,3.50,63.50,86.00,145.00
7/13/2000,FEMALE,3.58,50.80,76.00,146.00
7/19/2012,FEMALE,3.58,58.97,78.00,154.50
7/31/2002,FEMALE,3.58,71.21,84.00,152.00
8/21/2005,FEMALE,3.67,79.38,90.00,160.00
8/25/2000,FEMALE,3.67,103.42,100.00,181.00
8/11/2004,FEMALE,3.67,95.25,95.50,187.00
9/8/2000,FEMALE,3.75,90.72,96.00,150.00
10/6/2012,FEMALE,3.83,86.18,100.00,163.00
10/27/2005,FEMALE,3.83,56.25,77.50,126.00
10/22/2005,FEMALE,3.83,49.90,70.00,139.00
11/9/2000,FEMALE,3.92,68.04,85.50,154.00
12/7/2007,FEMALE,4.00,104.33,108.00,163.00
5/16/2011,FEMALE,4.42,68.04,83.00,149.00
5/14/2004,FEMALE,4.42,72.57,92.00,164.00
5/14/2004,FEMALE,4.42,72.57,92.00,164.00
5/27/2007,FEMALE,4.42,86.18,100.50,162.00
6/9/2008,FEMALE,4.50,68.04,85.50,149.00
6/23/2000,FEMALE,4.50,58.97,79.00,148.00
6/25/2000,FEMALE,4.50,113.40,109.00,181.00
7/31/2008,FEMALE,4.58,63.50,86.00,166.00
7/7/2003,FEMALE,4.58,58.97,77.50,147.50
8/11/2008,FEMALE,4.67,81.65,91.50,157.00
8/1/2001,FEMALE,4.67,65.32,86.50,160.00
8/17/2005,FEMALE,4.67,64.41,82.00,138.00
8/22/2005,FEMALE,4.67,65.77,84.00,161.50
10/22/2005,FEMALE,4.83,59.87,76.50,142.00
10/3/2000,FEMALE,4.83,111.13,103.00,168.00
10/3/2000,FEMALE,4.83,90.72,96.00,149.00
10/19/2005,FEMALE,4.83,138.35,121.50,165.00
11/9/2009,FEMALE,4.92,60.78,84.40,142.50
2/22/2000,FEMALE,5.17,89.81,95.00,163.00
5/17/2004,FEMALE,5.42,70.31,82.00,155.00
5/11/2000,FEMALE,5.42,59.42,77.50,150.00
5/17/2004,FEMALE,5.42,70.31,82.00,155.00
6/22/2000,FEMALE,5.50,92.53,96.50,162.00
8/8/2001,FEMALE,5.67,72.12,86.50,152.00
9/16/2004,FEMALE,5.75,74.84,88.00,166.00
9/9/2005,FEMALE,5.75,56.70,75.50,146.50
11/5/2007,FEMALE,5.92,81.19,91.50,145.00
1/4/2005,FEMALE,6.08,112.49,108.00,168.50
6/11/2002,FEMALE,6.50,60.33,76.00,158.00
7/11/2000,FEMALE,6.58,147.42,121.00,187.00
7/3/2003,FEMALE,6.58,61.69,73.00,151.00
7/3/2003,FEMALE,6.58,78.47,88.00,167.00
8/8/2000,FEMALE,6.67,68.49,85.00,155.50
8/17/2004,FEMALE,6.67,68.04,84.00,146.00
12/19/2009,FEMALE,7.00,79.38,90.90,155.50
8/1/2009,FEMALE,7.67,136.08,123.30,170.50
10/5/2004,FEMALE,7.83,81.65,89.00,179.00
10/31/2007,FEMALE,7.83,97.52,101.00,156.00
11/24/2008,FEMALE,7.92,92.99,102.00,150.00
8/10/2000,FEMALE,8.67,162.39,126.00,195.00
12/19/2005,FEMALE,9.00,129.27,120.00,155.50
7/10/2012,FEMALE,9.58,81.65,92.50,163.00
7/9/2002,FEMALE,9.58,66.22,79.50,151.00
8/6/2002,FEMALE,9.67,76.20,81.50,161.00
8/3/2005,FEMALE,9.67,68.04,85.50,158.00
9/24/2005,FEMALE,9.75,74.84,89.00,153.00
10/28/2005,FEMALE,9.83,97.52,100.80,158.40
10/8/2010,FEMALE,10.83,88.45,95.80,158.50
8/24/2005,FEMALE,11.67,113.40,111.00,152.00
5/22/2001,FEMALE,12.42,107.50,99.50,160.00
9/29/2006,FEMALE,12.75,88.45,94.50,149.00
6/24/2005,FEMALE,13.50,81.65,91.00,154.00
9/2/2000,FEMALE,13.75,77.11,87.00,154.50
8/31/2005,FEMALE,15.67,92.99,98.50,160.00
9/26/2000,FEMALE,15.75,114.76,110.00,184.50
7/27/2007,FEMALE,17.58,70.31,87.00,147.00
5/11/2004,FEMALE,19.42,95.25,95.00,186.00
4/3/2003,MALE,0.06,1.87,28.20,39.20
4/17/2003,MALE,0.10,2.62,19.00,43.00
3/8/2000,MALE,0.10,3.32,22.50,40.00
3/8/2000,MALE,0.10,4.07,25.60,44.70
3/10/2000,MALE,0.10,3.46,24.00,46.40
3/21/2002,MALE,0.12,4.50,24.50,47.50
3/9/2000,MALE,0.12,4.32,26.00,42.00
3/11/2000,MALE,0.12,3.85,25.40,40.50
4/2/2003,MALE,0.12,3.59,23.00,41.00
3/11/2000,MALE,0.12,3.79,24.00,40.50
3/7/2000,MALE,0.12,3.98,24.30,43.20
3/21/2002,MALE,0.12,3.10,24.20,44.00
3/19/2002,MALE,0.14,4.70,28.00,45.50
3/19/2002,MALE,0.14,4.50,24.50,51.00
4/5/2002,MALE,0.17,3.41,22.10,39.00
3/16/2000,MALE,0.17,4.92,26.20,50.20
4/2/2002,MALE,0.17,5.10,28.00,45.00
3/25/2002,MALE,0.17,4.10,26.30,44.00
3/21/2000,MALE,0.17,4.69,26.80,50.00
3/28/2003,MALE,0.17,3.50,23.00,46.00
3/28/2002,MALE,0.17,4.90,27.10,45.20
3/22/2002,MALE,0.17,5.60,28.00,51.00
4/3/2012,MALE,0.17,2.72,29.00,56.80
4/9/2002,MALE,0.17,3.60,23.00,41.50
4/7/2003,MALE,0.17,6.17,28.50,50.50
3/20/2002,MALE,0.17,6.00,30.50,44.00
3/31/2003,MALE,0.17,4.78,28.00,49.00
3/27/2002,MALE,0.19,6.10,28.50,49.50
4/1/2002,MALE,0.25,4.73,28.30,45.50
1/12/2006,MALE,1.08,99.34,104.00,154.00
1/15/2007,MALE,1.08,92.99,96.00,166.00
2/11/2011,MALE,1.17,79.38,95.00,152.00
3/21/2008,MALE,1.25,36.74,69.20,122.10
5/28/2011,MALE,1.42,90.72,101.50,156.00
5/24/2004,MALE,1.42,38.56,69.00,125.00
6/2/2009,MALE,1.50,79.38,88.00,150.00
6/1/2009,MALE,1.50,95.25,98.50,164.00
6/7/2006,MALE,1.50,58.97,80.00,135.00
