orig,label,new
state,state,state
zip_code,zip_code,zip
v9,PART 1-1: Have you ever seen a wolf in the wild?,seen_wolf
v10,1-2: Have you ever heard a wolf in the wild?,heard_wolf
v11,1-3: Have you ever seen wolf tracks in the wild?,seen_tracks
v12,1-4: Have you ever seen a wold in a zoo?,seen_zoo
v13,1-5: Have you ever seen a nature show about wolves on television?,seen_show
v14,1-6: Have you ever attended a lecture or presentation about wolves?,seen_lecture
v15,1-7: Have you ever had a pet killed or injured by a wolf?,your_pet
v16,1-8: Have you ever known someone who has had a pet killed or injured by a wolf?,others_pet
v17,1-9: Have you ever attended a sporting type show where a booth about wolves was present?,seen_sportshow
v18,1-10: Have you ever known anyone who owned or owns a wolf-dog hybrid?,own_hybrid
v19,1-11: Have you ever read any fiction books about wolves?,read_fiction
v20,1-12: Have you ever read any non-ficiton books about wolves?,read_nonfiction
v21,1-13: Have you ever visited a nature center that specializes in wolves?,seen_naturecenter
v22,1-14: Have you ever seen a film about wolves?,seen_film
v23,1-15: Have you ever read and books about wolves in Wisconsin?,read_book_WI
v24,1-16: Have you ever read a newspaper article about wolves in Wisconsin?,read_news_WI
v25,1-17: Have you ever seen a news broadcast about wolves in Wisconsin?,seen_news_WI
v26,1-18: Have you ever attended a public meeting about wolves in Wisconsin?,public_meeting_WI
v27,"PART 2-1: If I knew wolves lived where I participated in Deer Hunting, I would:",part_deer
v28,"2-2: If I knew wolves lived where I participated in Bird Watching, I would:",part_birdwatch
v29,"2-3: If I knew wolves lived where I participated in Bike Riding, I would:",part_bike
v30,"2-4: If I knew wolves lived where I participated in Running, I would:",part_run
v31,"2-5: If I knew wolves lived where I participated in Riding ATV's, I would:",part_atv
v32,"2-6: If I knew wolves lived where I participated in Snowmobiling, I would:",part_snowmobile
v33,"2-7: If I knew wolves lived where I participated in Bear Hunting, I would:",part_bear
v34,"2-8: If I knew wolves lived where I participated in Bird Hunting, I would:",part_birdhunt
v35,"2-9: If I knew wolves lived where I participated in Hiking, I would:",part_hike
v36,"2-10: If I knew wolves lived where I participated in Gardening, I would:",part_garden
v37,"2-11: If I knew wolves lived where I participated in Trapping, I would:",part_trapping
v38,"2-12: If I knew wolves lived where I participated in Cross Country Skiing, I would:",part_ski
v39,"2-13: If I knew wolves lived where I participated in Raising Livestock, I would:",part_raise_livestock
v40,"2-14: If I knew wolves lived where I participated in Canoeing, I would:",part_canoe
v41,"2-15: If I knew wolves lived where I participated in Backpacking, I would:",part_backpack
v42,"2-16: If I knew wolves lived where I participated in Nature Photography, I would:",part_photo
v43,"2-17: If I knew wolves lived where I participated in Fishing, I would:",part_fish
v44,"2-18: If I knew wolves lived where I participated in Picnicking, I would:",part_picnic
v45,"2-19: If I knew wolves lived where I participated in Camping, I would:",part_camp
v46,"2-20: If I knew wolves lived where I participated in Walking Dog, I would:",part_walk_dog
v47,"2-21: If I knew wolves lived where I participated in Berry or Mushroom Picking, I would:",part_forage
v48,"2-22: If I knew wolves lived where I participated in Other activities, I would:",part_other
v49,"2-23: If in the above section you indicated a change in participation, please take a moment to explain why your participation would be affected.",part_EXPLAIN
v50,"PART 3-1: If you knew wolves lived near your home, how concerned would you be about: Your own safety?",conc_safety_own
v51,"3-2: If you knew wolves lived near your home, how concerned would you be about: The safety of your children?",conc_safety_children
v52,"3-3: If you knew wolves lived near your home, how concerned would you be about: The safety of other children in the area?",conc_safety_otherchilren
v53,"3-4: If you knew wolves lived near your home, how concerned would you be about: The safety of livestock?",conc_safety_livestock
v54,"3-5: If you knew wolves lived near your home, how concerned would you be about: The safety of pets?",conc_safety_pet
v55,"3-6: If you knew wolves lived near your home, how concerned would you be about: Getting into an auto accident with a wolf?",conc_auto_accident
v56,PART 4-1: Please indicate the extent to which you agree or disagree with the following statement: The wolf is a symbol of the beauty and wonder of nature.,ad_nature
v57,4-2: Please indicate the extent to which you agree or disagree with the following statement: Farmers should be responsible for protecting creatures like sheep and young calves from predators such as wolves.,ad_farmers_protect
v58,4-3: Please indicate the extent to which you agree or disagree with the following statement: The DNR (spl-out) is concerned more with meeting the needs of special interest groups than protecting the animals of Wisconsin for everyone to enjoy.,ad_DNR_sig
v59,"4-4: Please indicate the extent to which you agree or disagree with the following statement: If there are enough wolves, I think we should allow some of them to be killed for sport.",ad_kill_sport
v60,4-5: Please indicate the extent to which you agree or disagree with the following statement: It's wrong to kill wolves because they seem so intelligent and emotionally sensitive.,ad_intelligent
v61,4-6: Please indicate the extent to which you agree or disagree with the following statement: Wolves are a part of our vanishing wilderness and should be protected.,ad_wilderness
v62,4-7: Please indicate the extent to which you agree or disagree with the following statement: The DNR (spl-out) doesn't spend enough time informing the public about wolf management issues.,ad_DNR_education
v63,4-8: Please indicate the extent to which you agree or disagree with the following statement: The DNR (spl-out) is concerned more with preserving land than allowing people to make a living off the land.,ad_DNR_preservation
v64,4-9: Please indicate the extent to which you agree or disagree with the following statement: Wolves help keep deer herds healthy by killing the sick and the weak animals.,ad_healthy_deer
v65,4-10: Please indicate the extent to which you agree or disagree with the following statement: The DNR (spl-out) is concerned more with animal rights than people's rights.,ad_DNR_animal_rights
v66,"4-11: Please indicate the extent to which you agree or disagree with the following statement: If farmers are more careful about how they take care of their cattle, there will be fewer livestock killed by wolves.",ad_farmers_careful
v67,4-12: Please indicate the extent to which you agree or disagree with the following statement: The DNR (spl-out) works too closely with big business.,ad_DNR_bigbusiness
v68,4-13: Please indicate the extent to which you agree or disagree with the following statement: I would shoot a wolf if it threatened my pet.,ad_shoot_pet
v69,4-14: Please indicate the extent to which you agree or disagree with the following statement: I do not think wolves and farmers can coexist in the same area because wolves eat livestock.,ad_farmers_coexist
v70,4-15: Please indicate the extent to which you agree or disagree with the following statement: A hunting season on wolves would encourage more illegal killing on wolves.,ad_season_illegal
v71,4-16: Please indicate the extent to which you agree or disagree with the following statement: I think the elimination of wolves from most of the United States has resulted in overabundant and unhealthy deer populations in many places.,ad_nowolves_deer
v72,4-17: Please indicate the extent to which you agree or disagree with the following statement: It upsets me to think how a wolf actually kills a deer.,ad_kill_deer
v73,4-18: Please indicate the extent to which you agree or disagree with the following statement: The DNR (spl-out) works too closely with environmentalists.,ad_DNR_environmentalists
v74,4-19: Please indicate the extent to which you agree or disagree with the following statement: People who feel strongly about protecting wolves are usually city people with little understanding of farming or how to make a living off the land.,ad_city_people
v75,4-20: Please indicate the extent to which you agree or disagree with the following statement: Some animals such as wolves and rattlesnakes are naturally cruel.,ad_cruelty
v76,4-21: Please indicate the extent to which you agree or disagree with the following statement: Wolves are a part of our vanishing wilderness and should be protected even if some farmers have to make economic sacrifices.,ad_wilderness_economics
v77,4-22: Please indicate the extent to which you agree or disagree with the following statement: The DNR (spl-out) is run by environmentalists who are out to save land and animals at the expense of hard working people.,ad_DNR_environmentalists2
v78,4-23: Please indicate the extent to which you agree or disagree with the following statement: A wolf's howl is one of the most frightening sounds in nature.,ad_howl_frighten
v79,4-24: Please indicate the extent to which you agree or disagree with the following statement: Wolves are essential to maintaing the balance of nature.,ad_balance_nature
v80,4-25: Please indicate the extent to which you agree or disagree with the following statement: Wisconsin's wolf population threatens deer hunting opportunities.,ad_threaten_deer
v81,4-26: Please indicate the extent to which you agree or disagree with the following statement: The DNR (spl-out) currently does a good job of managing wolves in Wisconsin.,ad_DNR_goodjob
v82,4-27: Please indicate the extent to which you agree or disagree with the following statement: A wolf-dog hybrid would make a good pet.,ad_hybrid_pet
v83,4-28: Please indicate the extent to which you agree or disagree with the following statement: Seeing a wolf in the wild would be one of the greatest outdoor experiences of my life.,ad_great_experience
v84,"4-29: Please indicate the extent to which you agree or disagree with the following statement: Wolves belong in places like Alaska, not in Wisconsin.",ad_Alaska
v85,4-30: Please indicate the extent to which you agree or disagree with the following statement: There is no way sportsmen can have good deer hunting if wolves live in the same area.,ad_deer_hunting
v86,4-31: Please indicate the extent to which you agree or disagree with the following statement: Our state is in bad shape when we choose wolves instead of hardworking farmers.,ad_bad_shape
